wallet_address,sent_count,total_sent_eth,failed_sent,max_sent
0xf4c808be6593e822d5baf407a42ea2666294b652,1,15.0,0,15.0
0x9b228b4f71b3bc7e4b478251f218060d7b70dc25,48,14.609461072859727,15,2.6684053698458556
0xe62c74c32185c6d4ee87cb31b4e12362c30ef850,5,14.04321795360153,0,9.420492626608498
0x4d521577f820525964c392352bb220482f1aa63b,9,13.639644255697679,0,2.8548
0x961cee162ea5c93a1b1bfb4932dfe289af4e6087,1,13.0,0,13.0
0x13edfb6c08c70cbee8a6ca84188ee2c87cc7012e,2,13.0,0,6.5
0x64e8cce4a93249c0baef5e6116b798795d063b9e,3,12.5,0,11.0
0xefabbf0900e7f126c8327018a1d82cf02604ead3,25,12.25,1,5.0
0xe5bf9b62e03191e7b5aec3bcd2b93567bdcf2f68,16,11.836055843529588,0,4.242675877994838
0xd9925cbed7f61735aaab9308277b081fcdad4cb4,49,10.942452202744345,4,0.9526234386096514
0xc692a81a893fcf3e8021580fb3d9a7199733b2d4,42,10.510253992317843,11,0.9517670957355363
0x1bb29e473b61480d220490e537007ffeafa3fcdf,2,10.2,0,8.0
0x3d9a35ee0620ccd19ec80c3ce5444672cb69fa73,36,10.058905049575156,4,0.9970854560908787
0xd62bf112e49eaaa9effa5b64d8243ebb0ac2e44c,2,10.0,0,6.0
0xf5ba1cc4a294214f4b83b3ab27ecd1a290215cb6,1,9.909620971256478,0,9.909620971256478
0x7abe9805fe238c594930b7e0252f33245bbea3db,2,9.7,0,9.7
0x41358a2406eb1d4e149121b2e8cdb8af1960d320,40,9.527604097487652,8,0.9827751081895664
0x7d97ce9a4809d7016ebee79a78c17170ef9fc46e,41,9.495556854987285,2,0.9775668141818381
0x5e1fd17c47fc13033a0a5e2e410c86e723e750fd,7,9.3,0,2.5
0x5958af141de82b3ade99671779136495c0b038d5,34,9.21842497127767,0,0.9586102586992343
0x91683a8fd99516aeedb1ef79c5fcc753138b832d,29,8.913627397136061,1,0.9915133422475891
0x606228ec5122f73af2e1ebac346d4e236dda5213,34,8.822695835161847,3,0.9580640723644528
0x9dda370f43567b9c757a3f946705567bce482c42,16,8.8,0,3.0
0x6a15c7ed014cff024579603813c3cc6bdd2c55c8,18,8.7,0,2.0
0x2390ec6fb773c02eebedc986ae16ed7e4c8c0829,40,8.630852581517544,2,0.9035857078423147
0xb2be000ab5be1f7ac72c7b9a436901346d4a7530,31,8.550817548990052,0,0.8678063288484085
0xfa2d8c7ef5332d1772b83887d13a7aff6a8f703f,28,8.499735536190407,1,0.9703477423422396
0xdd49072f1ffd750f8307e368be217d4ed83f536a,29,8.489695308126045,1,0.9157904958596219
0xbba5706b778ab06c945a5777a829686c191aaaa2,34,8.487159374716574,0,0.907830206891744
0xc563f1e3dcce804299d4372f69c57f7bbc47f647,37,8.483796688374207,2,0.8683851303733011
0x4d7e25699d339bf1f96167285f12aef95850d0df,36,8.482186604342608,1,0.8741303531116029
0x32faf73f416b5d58a12f69c818411d66f252e433,39,8.453789425922707,3,0.7894842560137058
0x8b7797bc9e7fd8c8f799f5d6e1f30fe414c8ee3c,2,8.38,0,8.38
0x7f306b0c16acfb17c0de9f90de2e8daa6494db74,31,8.312341320068562,0,0.8989286232862682
0xea2c783302098ff470489dfeb902b5d9de45828f,27,8.24474866422508,1,0.8357060963904189
0xa4153e31a192b197126bb8e63bd7b6d51436566d,35,8.232294234902213,0,0.9813325005082841
0x957e9d7964505f720a76bbaff757094a941246c0,29,8.170019126767798,1,0.9546020614932339
0x78e6e13988161a3b4555ca21221eb441a237fccb,28,8.116909573188032,1,0.9904569813525789
0x25c973c8ac14657bca41cf615ac3c6f8bb326570,37,8.033041169227154,2,0.9036960188004339
0x8f0f9f994688455f28a474266e376695f6861e66,34,7.835654406839903,1,0.8847494081666107
0x6cff7c0db924bf53af1d5581b0bb6e2233831b00,33,7.795092526981799,0,0.8857864233819901
0x43aa95f78bb5d729edfb4c7ea7225ba2730fb543,30,7.711816013550849,1,0.8478111969281326
0x96312e8c174b1828ae67ec7a16bcda0a80a747e3,1,7.63,0,7.63
0x5a207b26aefd89bdec00ff35f877f62b45ddc787,29,7.625508309345749,0,0.9899558357406395
0x30f957047256d16c2c34086156508403427a995b,32,7.5359755653875276,1,0.933721268877867
0xaa73110acc8b5860b7057df472d269cdcbc06bb3,26,7.523652426209517,0,0.9562693652050492
0x45be03a76910a8a69a3333535a7210823465ab7f,38,7.4493338552375015,2,0.8289597650689751
0x2e05126329dc5bfa9419cf5aba2419b6930175c1,32,7.398351061504489,0,0.9582102272000902
0xbf52c96226136103df3c1334eaffca0d741e2849,26,7.366687404950248,0,0.9949945865601438
0xf6b1e45588a7a714f9f25e882ba6c651ba4f44bb,33,7.349910949872549,2,0.9688160918247419
0xf3fe7c7c3fdeb1867172ef3b2e216fdad3aa3d9c,30,7.259618836646861,2,0.9406481086258215
0x23a65bcf1740d77d4ac2c99d438ae6077fcbd71b,30,7.014044493379957,0,0.9327741568258379
0xaa00a162f387bace012cd2627b73ba3fd02aa616,5,7.0,0,5.0
0x5c39b524d45523ea742b91ef1d1cd871e28e7b4e,11,7.0,1,1.6
0x129a2fa592d3986b7a98b17e9ab2cd54e02a8abc,3,7.0,0,7.0
0xf1bfd3ea22996c91bdffd98516e945c9358b1d18,23,6.965893339528211,0,0.9622788067716976
0x0396d0623c93b62f5bdc82b6f55e6d93fb564cc8,25,6.836622452814837,1,0.9342240273088187
0x39a116d891f1b40a8fcbb0ab474a4ca5332e5d46,10,6.8,0,2.0
0xe1b44d291312fb6150c2810f4fbe6a08392ff92f,2,6.8,0,5.0
0x938a5f1d3078d38209b9bba56a34453b3e225dca,29,6.791644442231921,2,0.6619623257529207
0xbd484e0b524648157e8779040f32457a69f59b71,34,6.776074527443198,1,0.7262942734621064
0x3b4ae2187b5d49efa167f073c83a4aa01717ff81,34,6.7278085426436585,1,0.810470457788581
