label,from_address,sent_tx_count,total_tokens_sent,token_symbol
,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,24,68.71264705516147,WETH
,0xf86a418d0cbcb95a1286422b29aae22c7b7280e9,1,59.154841,USDC
,0x19fe9857bb3652e9007f2347a1f877ffa9215f7f,6,58.124511360589544,WETH
,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,11,56.03572208243442,WETH
,0xd5ad5ec825cac700d7deafe3102dc2b6da6d195d,1,55.772779,USDT
,0x33676385160f9d8f03a0db2821029882f7c79e93,1,49.750463,USDT
,0x92ab871abb9d567aa276b2ce58d0203d84e0181e,1,48.999469,USDC
,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,12,48.90430292226012,WETH
,0x59354356ec5d56306791873f567d61ebf11dfbd5,19,47.7988646437337,WETH
,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,1,46.892000500112054,BUSD
,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,16,43.451059218879806,WETH
,0x02edd21f1db8eb146be60998e9801691e725f119,2,40.62333458796049,WETH
,0x60594a405d53811d3bc4766596efd80fd545a270,25,36.79544552187593,WETH
,0xb7cf00ad11335750d7261f3d095a8d73b1f90dcf,82,36.482666042097,WETH
,0xf3e53d80c29e3cc5fbcdede2a41cc6a19a6d1118,29,33.738016531463465,WETH
,0x403b1b747b1efb309070436c9ac99bf476f299ea,23,32.3761192698915,WETH
,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,4,31.72736382137925,WETH
,0x46631c701eae6c6f1880cdd6898675bbf20886bb,1,29.888688,USDC
,0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,4,29.533779887816866,WETH
,0xaddd24a001243e6d446ed8d088c82aeff84073a3,8,28.57825844554938,WETH
,0xe9131a276fd07af729b5537a429346e8affc67e0,3,27.713737,USDC
,0x510100d5143e011db24e2aa38abe85d73d5b2177,6,27.272443648885634,WETH
,0xacaadf5e6b3b590f3b40e18b9460b247426dd6d1,1,27.0573117627839,ICHI
,0x2cad29e9640b9bcfb1d8d25cf3e4bd05f55cce70,7,26.819701607605964,WETH
,0xc48396f068c62e0192c9f2c1caa7e07bbd15dbc7,9,25.8878682403079,WETH
,0xe42318ea3b998e8355a3da364eb9d48ec725eb45,3,24.940459752490803,WETH
,0xa7bc6c09907fa2ded89f1c8d05374621cb1f88c5,1,24.629942,USDT
Wallet 2,0x2381723118870257c5ea6183281724930247afea,8,24.128579208090976,WETH
,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1,22.078684,USDC
,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,27,21.87955820581326,WETH
,0xb06e7ed37cfa8f0f2888355dd1913e45412798c5,1,20.436652,USDC
,0x79db69ab1ed51261a9fdc3bf0e6db3fa48b8cc52,12,20.127533150120488,WETH
,0x83abecf7204d5afc1bea5df734f085f2535a9976,16,19.33210054117348,WETH
,0x252c9b3145174f878277dfe739c990268495d33b,1,18.954119,USDC
,0x824a30f2984f9013f2c8d0a29c0a3cc5fd5c0673,8,18.086686627941877,WETH
,0xdf6581b1da6a120882f5029939ebdd1ebd94aef5,15,17.549560396419086,WETH
,0x01f30d94091a3dd206968b53743bd2abe9cec799,1,16.244456,USDC
,0x7e7e2932dee320beeb98994c6fe25573c95e92ae,39,14.241713187718934,WETH
,0x92560c178ce069cc014138ed3c2f5221ba71f58a,3,12.871409968551836,WETH
,0xe5d028350093a743a9769e6fd7f5546eeddaa320,1,12.527521873395994,WETH
,0x0a55882f4e1117adc54afbbac4a39079ad52fb89,9,12.422259270324302,WETH
,0x755e5a186f0469583bd2e80d1216e02ab88ec6ca,7,11.672488202985122,WETH
,0x508acdc358be2ed126b1441f0cff853dec49d40f,4,11.4299862849726,WETH
,0x959c7d5706ac0b5a29f506a1019ba7f2a1c70c70,3,11.411140389802853,WETH
,0x262e6594125b1e34d1c59e1b426807d0da2a5b30,38,11.378854210641144,WETH
,0xe936f0073549ad8b1fa53583600d629ba9375161,9,11.036602181157768,WETH
,0xe3170d65018882a336743a9c396c52ea4b9c5563,2,10.919220895596165,WETH
,0x12cc685eeb95d3fcdfae0a996e214e51fa6f7548,6,10.83234812977936,WETH
,0xd04d14d2f9122372e41d2de9a82f721e9ea2f069,8,10.69120092175379,WETH
,0x4d1eff861316396dd1915f69b49f4c2d7b11590d,4,10.417267438819799,WETH
,0x11950d141ecb863f01007add7d1a342041227b58,10,9.929916718277152,WETH
,0x975c822e26a514e7a1b75be587aefc738a73eee7,1,9.745701,USDC
,0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,17,9.736301478394575,WETH
,0xe71ee632ae19df659a77de76b0b08838d8342acd,30,9.508335848765313,WETH
,0x8ea48337c6c6677b0973437f2685d17717c0408e,4,9.438248539778431,WETH
,0x2ca1d6950182d28434f89a719ed9e915b8c417b5,8,9.088532031909175,WETH
,0xa81fb934e257df74dfd113e1dafbc98a5fe10469,11,8.872469390819571,WETH
,0xc923b3d24d9c831c3064a8aecc03b390db6b5eab,14,8.656217111271477,WETH
,0x919fa96e88d67499339577fa202345436bcdaf79,6,8.477636655562057,WETH
,0x2dd31cc03ed996a99fbfdffa07f8f4604b1a2ec1,4,8.232619961158631,WETH
,0x0e2c4be9f3408e5b1ff631576d946eb8c224b5ed,5,8.184675577988903,WETH
,0xc64350c0eab6faed8f17cc2cdff0761c53fb4152,18,8.169307593130862,WETH
,0x9b1956a09c486ed2d8a4c771c221e7a94ffd7755,11,7.889457691970149,WETH
,0x0c30062368eefb96bf3ade1218e685306b8e89fa,4,7.0318050838661215,WETH
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,57,6.89056435,WBTC
,0xd8de6af55f618a7bc69835d55ddc6582220c36c0,3,6.762522521277235,WETH
,0x7d88b48f250830fc5a5f336cac03bae03091ebb5,11,6.58561887362637,WETH
,0x2773caa898ad7043ec4df2d22526ed331d54b671,4,6.446239344511288,WETH
,0x1ccedc52df911af989a790dc8049554744642056,7,6.36445490622207,WETH
,0x465e56cd21ad47d4d4790f17de5e0458f20c3719,11,6.347069424793045,WETH
,0x9b3423373e6e786c9ac367120533abe4ee398373,2,6.094811490634076,WETH
,0x9e0905249ceefffb9605e034b534544684a58be6,8,6.038485880919314,WETH
,0x71d091e35abbd51b46db179184684633581d1816,2,6.009008517260291,WETH
,0xf20f344c8e21a4d5684c96e4540dd2d7d8f1fb0f,9,5.985619974389457,WETH
,0x06b2afb23ca733b5cd4bd0de65a7dd91db6fa5e9,1,5.962997,USDT
,0x4622df6fb2d9bee0dcdacf545acdb6a2b2f4f863,2,5.937530275655016,wstETH
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,2,5.937530275655016,wstETH
,0x841820459769cd629b10a36fd12e603938cc2679,2,5.827195423911555,WETH
,0x84b54635a43441ee7748658660f79fe05c03ba7c,7,5.806235608859357,WETH
,0xd9d854a1061b8ce606fe904cb29beb6793c88643,12,5.589865723737541,WETH
,0x2af41d838763e3c5cad6adc111af9c5da19b9afa,1,5.5781368384544905,WETH
,0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,2,5.552127492097627,WETH
,0x3e6e23198679419cd73bb6376518dcc5168c8260,3,5.4244736721607545,WETH
