tx_hash,sender,receiver,value_eth,gas_used,is_error,tx_type,timestamp
0x40adc85ac4d7c9e4a7b4e6ace5ae823b1b3757702419903436892d17c0cfae23,0x58c7c6745fb0a657bc0a59889fe454bffafbb7cf,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,33438,True,Failed transaction,2024-01-04 07:01:11
0xfd447e406490c11b078859c1925c16fa550c1a4a6582b50dae04bbb87b186d1b,0x58c7c6745fb0a657bc0a59889fe454bffafbb7cf,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,33438,True,Failed transaction,2024-01-04 07:00:35
0x219fe5408730ea001f355ab10a87e2c819e44d676010d867f680d78cc5c6f049,0x58c7c6745fb0a657bc0a59889fe454bffafbb7cf,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,33438,True,Failed transaction,2024-01-04 06:52:59
0x57d4be50f4214339d97d18bebbe7ea2a03e482d37a999f0ce24815730c845029,0xab4db125e41bbe6175f1d516d922733263cbf2ec,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,106066,True,Failed transaction,2024-01-04 06:33:11
0x7b7f23083e88986fa8d9a21ea3b74036835dd88eacb544aeb06c13659048824e,0xec84271fed60528bffae78f38a27af77d48b4454,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,337891,True,Failed transaction,2024-01-04 06:06:35
0xebc74f19be836791f1996a82edc53005f97c05a2fc1988f10f58cd228c5449a8,0xec67e10a5991ab7ae9ea3d47a1f3725009abb92c,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,109219,True,Failed transaction,2024-01-04 05:56:11
0x1e6480dfe082826fcef2e1e0a9604e6762bd1a062c054fadb12fbea38c500f92,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,654426,True,Failed transaction,2024-01-04 05:01:47
0x84ed9cdcb6182c11395a17391e63274656e14eb0b885daae91121bf68d323946,0x1d283807630ffb876a5d78b8e0788e491449f241,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,106274,True,Failed transaction,2024-01-04 03:59:23
0x6b5637a21757367ec37721a98765aad2053ddad481df234806f7e4fd3e09bdb0,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,125375,True,Failed transaction,2024-01-04 03:02:23
0x8511631b25a9222b84b05dde9b50051fa99466bb666673140a1c586c30818c85,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,144578,True,Failed transaction,2024-01-04 02:58:11
0x4748d404e0e6c5316dcb01db6c8b9719e806bb20934f77c5edd3e44f1274dbef,0xc563f1e3dcce804299d4372f69c57f7bbc47f647,0xe592427a0aece92de3edee1f18e0157c05861564,0.16771221760213,129109,True,Failed transaction,2024-01-04 01:48:11
0xdd5a32fa56c3c1d8ce5be1a71e44d518c671d9f87cbe74545718ca9978ede53f,0x45be03a76910a8a69a3333535a7210823465ab7f,0xe592427a0aece92de3edee1f18e0157c05861564,0.23394087193170335,130135,True,Failed transaction,2024-01-04 01:46:35
0x1815c0ba159c6fe535abd0b0d1802f2bc8f22f79843957ef0b47aeb1eeea6483,0xf6b1e45588a7a714f9f25e882ba6c651ba4f44bb,0xe592427a0aece92de3edee1f18e0157c05861564,0.6468184327678135,147199,True,Failed transaction,2024-01-04 01:39:11
0x160a0cdaa80167fd69606a469f769cfbd5f71feeb799e95ba71c2bc9d1be2bb7,0x7d97ce9a4809d7016ebee79a78c17170ef9fc46e,0xe592427a0aece92de3edee1f18e0157c05861564,0.16083006727230154,151049,True,Failed transaction,2024-01-04 01:38:23
0xf33e16932888180fd73e92811c7fe2c9eb8b7901af28aa38c5192e7f43dcbefb,0x1d283807630ffb876a5d78b8e0788e491449f241,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,128278,True,Failed transaction,2024-01-04 01:20:23
0x8a02de3e105c1bfc2b9e0783a74da99044230c59ae49f82954a8d53a9b8a2424,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,140411,True,Failed transaction,2024-01-04 00:48:59
0x9829a994626f94161826bd6eb03b5d60d1f6d7073cd1f81d353b33b10549234a,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,140441,True,Failed transaction,2024-01-04 00:48:47
0xf6a42be3fc47e55f28cdb56d4b4c6c628bd3ac6896edea8c8b5d60abda0d114e,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,140737,True,Failed transaction,2024-01-04 00:46:47
